store_id,item_id,volume_tier,model,mae,rmse,wmape,actual_sum,sum_abs_error
TX_1,HOBBIES_2_138,low,prophet,0.2878316814901432,0.4070829401397226,4.029643540862005,2.0,8.05928708172401
TX_1,HOUSEHOLD_2_032,low,sarima,0.2318800212632046,0.3139993920327588,2.16421353178991,3.0,6.492640595369728
TX_1,HOUSEHOLD_2_032,low,prophet,0.2336162604903522,0.3099398515892018,2.180418431243288,3.0,6.541255293729861
TX_1,FOODS_2_313,low,sarima,0.3491432267271454,0.3903031994063504,2.4440025870900177,4.0,9.77601034836007
TX_1,FOODS_2_313,low,prophet,0.3029024664025425,0.3719268377357023,2.120317264817798,4.0,8.48126905927119
TX_1,HOUSEHOLD_2_504,low,sarima,0.2581585906989784,0.6284583642632595,1.2047400899285663,6.0,7.228440539571395
TX_1,HOUSEHOLD_2_504,low,prophet,0.2317246801851208,0.6398084535507756,1.081381840863897,6.0,6.488291045183383
CA_1,HOUSEHOLD_1_239,low,sarima,0.7223375197598935,0.9098683853929308,0.9631166930131914,21.0,20.225450553277017
CA_1,HOUSEHOLD_1_239,low,prophet,0.7317182080009186,0.917415314755617,0.975624277334558,21.0,20.48810982402572
TX_1,FOODS_2_209,low,sarima,0.6148979293119771,0.7136705635868895,1.721714202073536,10.0,17.21714202073536
TX_1,FOODS_2_209,low,prophet,0.5740500505613457,0.6599977740572625,1.607340141571768,10.0,16.07340141571768
CA_1,HOBBIES_2_041,low,sarima,1.0504482909186716,2.2026558540676104,1.014225936059407,29.0,29.412552145722806
CA_1,HOBBIES_2_041,low,prophet,1.0503446659133528,2.2099492717497173,1.0141258843301335,29.0,29.40965064557388
CA_1,HOBBIES_2_045,low,sarima,0.5500420073442029,0.765457769064609,1.100084014688406,14.0,15.401176205637682
CA_1,HOBBIES_2_045,low,prophet,0.5694369848781898,0.744946483371178,1.1388739697563797,14.0,15.944235576589316
TX_1,HOBBIES_1_223,low,sarima,1.1728574143224109,2.009327462527821,1.9317651530016176,17.0,32.8400076010275
TX_1,HOBBIES_1_223,low,prophet,1.0689105043711662,1.9622517069974823,1.7605584777878032,17.0,29.929494122392654
CA_1,HOBBIES_1_210,low,sarima,0.0012333597717587,0.0027984132438319,inf,0.0,0.0345340736092436
CA_1,HOBBIES_1_210,low,prophet,0.0208925936959482,0.0391085912634882,inf,0.0,0.5849926234865496
CA_1,HOUSEHOLD_2_296,low,sarima,0.3462886085642604,0.8463927917139801,1.077342337755477,9.0,9.696081039799292
CA_1,HOUSEHOLD_2_296,low,prophet,0.4148181688288508,0.8150425362363394,1.2905454141342023,9.0,11.614908727207823
TX_1,HOBBIES_2_044,low,sarima,0.1625537483869688,0.216754203652578,4.551504954835128,1.0,4.551504954835126
TX_1,HOBBIES_2_044,low,prophet,0.16925306419607,0.2206517694558164,4.7390857974899605,1.0,4.73908579748996
TX_1,FOODS_3_758,low,sarima,0.5390683247867779,0.8609993194851787,1.372173917639071,11.0,15.093913094029782
TX_1,FOODS_3_758,low,prophet,0.5514078827418752,0.8594195091722887,1.4035837015247734,11.0,15.439420716772506
TX_1,HOUSEHOLD_1_085,low,sarima,0.1445670222749439,0.3076659433676861,1.3492922078994771,3.0,4.0478766236984285
TX_1,HOUSEHOLD_1_085,low,prophet,0.1485720154603838,0.3161601771966962,1.3866721442969154,3.0,4.160016432890746
TX_1,HOUSEHOLD_2_192,low,sarima,0.278279633099786,0.4189625302128316,1.2986382877990017,6.0,7.791829726794008
TX_1,HOUSEHOLD_2_192,low,prophet,0.2773558804118705,0.4183879340056683,1.2943274419220625,6.0,7.765964651532373
TX_1,HOBBIES_1_240,low,sarima,0.4037307027811203,0.4231174957267228,2.260891935574274,5.0,11.304459677871368
TX_1,HOBBIES_1_240,low,prophet,0.5302120787746394,0.5370490455315777,2.9691876411379807,5.0,14.845938205689903
CA_1,FOODS_2_123,low,sarima,0.8393719609370026,1.1291368285758745,0.7121943910980628,33.0,23.502414906236073
CA_1,FOODS_2_123,low,prophet,0.7611525038731797,1.057007477879855,0.6458263669226979,33.0,21.31227010844903
TX_1,HOUSEHOLD_2_147,low,sarima,0.0012186456701177,0.0020793030327111,inf,0.0,0.0341220787632956
TX_1,HOUSEHOLD_2_147,low,prophet,0.0046242008003718,0.0069963288946502,inf,0.0,0.12947762241041041
TX_1,HOBBIES_2_128,low,sarima,0.3349477695769863,0.7781450444780982,1.3397910783079454,7.0,9.378537548155617
TX_1,HOBBIES_2_128,low,prophet,0.3120094285786243,0.7819517808022869,1.2480377143144972,7.0,8.73626400020148
TX_1,FOODS_3_379,low,sarima,0.2646928035296135,0.388492353017965,1.852849624707295,4.0,7.411398498829178
TX_1,FOODS_3_379,low,prophet,0.297968942645555,0.3915156175581821,2.085782598518885,4.0,8.34313039407554
TX_1,HOBBIES_1_198,low,sarima,0.6710699327263281,1.095966023801355,1.174372382271074,16.0,18.789958116337186
TX_1,HOBBIES_1_198,low,prophet,0.6650905256638465,1.0981548574132396,1.163908419911731,16.0,18.6225347185877
